,dcnn,dresnet,dinception
synth_ShapesAll_type1_nbdim_10,0.08317471481135356;0.13045553797123274;0.17100712464161105;0.20291472333592836;0.23145058916417455;0.25289172938353804;0.271809619959835;0.289388341516247;0.3019721289793966;0.3152269576220375;0.4102611344707232;0.48668744000384656;0.519750824140037;0.5413777272370789;0.5539576596190139;0.5712563911820555;0.5809004137018657;0.5964355199698825;,0.0829406135560105;0.11549970766814883;0.16129315598251753;0.21303922814628198;0.2598196041624931;0.30025462714133616;0.3288798322516447;0.3680668749200635;0.4052667701286282;0.4265482163955955;0.5872311856443089;0.6955270150975202;0.7293445630371721;0.7471082284487932;0.7549774061855407;0.7668387872661355;0.7703596103653703;0.777653683306348;,0.0710893368869797;0.23904447912131344;0.3975930787268013;0.49498587677251765;0.5479441850260421;0.5693387024172629;0.5880342796463678;0.6088770014418121;0.6252673015522933;0.6317687971676516;0.6781016576251879;0.6967918868448799;0.7017086212399825;0.7013248221146818;0.7010808610438284;0.7012572920826677;0.703576587165619;0.7056766064648672;
synth_ShapesAll_type1_nbdim_20,0.03889996665711023;0.07960735947870629;0.14719057983035264;0.19341562650939031;0.22970485318226289;0.25623109948848033;0.27653381937574073;0.294098462529089;0.306436805621335;0.31842945639904935;0.38334553705057606;0.4417625638030663;0.4738034106755873;0.49491539668811585;0.5109233015885565;0.5372624306033702;0.551810438139714;0.5749760745013698;,0.04609806506852345;0.0747954954516058;0.11521022594639828;0.16096863692116087;0.20906579211800863;0.2595559721875102;0.3058714047609682;0.35013342550495863;0.3890879215051871;0.42490611864948136;0.6226810579269288;0.723376615322;0.7516152904450891;0.7644985281968196;0.770493721263676;0.7782367216586317;0.7817649015789003;0.7865883680993987;,0.019815070601948318;0.07020703591231486;0.12008365503197022;0.1582646928387678;0.17630997786219801;0.21607630278113132;0.2275927043176219;0.24324703429451067;0.25702209055903635;0.27260742930218274;0.30881689629291204;0.3268887088154353;0.33188035859193654;0.3365540156549809;0.3420840129254252;0.34634932519885275;0.3463508723558251;0.34936453266491624;
synth_ShapesAll_type1_nbdim_40,0.015716731001695586;0.04336228291612712;0.08926953849161755;0.12321815441689968;0.15266890590514917;0.17846766505399916;0.19948749247840522;0.2196108860433646;0.23550416955862588;0.24814562547316243;0.3037876031098888;0.34814138242827686;0.37887200242581015;0.40079574634183035;0.41551016671663227;0.44020039689306345;0.4543967848154989;0.4784732469608393;,0.019446938550095067;0.041303077773683104;0.07585641269174587;0.10996958802777104;0.14032774670598597;0.1690992115875499;0.20055576873705155;0.23013911709099216;0.25855597477031866;0.2849980791684256;0.4544566938166879;0.5839198667538799;0.6187421682581661;0.6278396607183078;0.6315855017425345;0.6364933358287047;0.6390426694615912;0.642858039607445;,0.00932314634374279;0.041634171011652336;0.07990040862783514;0.10626907969618603;0.1444479649720299;0.1729763703962876;0.20869020916092662;0.2545480084113829;0.2786699568993239;0.3076678680222602;0.46209004772465617;0.5314945886667242;0.5543850685669887;0.5626971005592649;0.5684842162974226;0.5778151400362258;0.582224943074528;0.5808736361219744;
synth_ShapesAll_type1_nbdim_60,0.009514300457745798;0.038344691542619;0.08439067866265396;0.11268042701948082;0.13575607857065086;0.15568635735878286;0.17366000423695735;0.18985579195589417;0.20409489712780662;0.21681463275846433;0.29299954861050276;0.36103160503325304;0.3977178128245359;0.4215266146047454;0.4384406241812498;0.46498139747629014;0.48044229140539263;0.506883043572971;,0.012013057697953322;0.038547695218483044;0.08038580722914343;0.12500842346875055;0.1723846385960184;0.21758192885833677;0.25427490469783043;0.28540967407458334;0.31653146901703055;0.3443522148857597;0.49008494018899645;0.5304559664074089;0.5415104100092052;0.5492482520600366;0.5552913372621018;0.564178509150802;0.5680006703723625;0.574536501231294;,0.005674773759352031;0.04462948013601706;0.10179309774133113;0.12053319808823951;0.13520446407600836;0.14280715904146768;0.155879572336353;0.1869265787451523;0.21031915068586296;0.22110728952304565;0.34930633692093044;0.4466912031868425;0.4851010994132788;0.5026183976556811;0.5209740647160757;0.5343571157016132;0.5363958936357835;0.5477752867271305;
synth_ShapesAll_type1_nbdim_100,0.005095461002783425;0.024848648881647024;0.05209090563886245;0.07935609619820919;0.0985158427579506;0.11428915075020685;0.1286194830233674;0.1380787909968485;0.14769056098057765;0.15545063260034545;0.2244456970713758;0.30089720006933746;0.3542317679885195;0.4014055413216184;0.438821359833306;0.4954999182755967;0.5288506985638902;0.588470929832509;,0.006338664334846117;0.03129470550096957;0.09351281461025765;0.14264638677320934;0.192285807923973;0.22439994288350884;0.2553641242867938;0.2783176998052471;0.3008286182486663;0.31782505217522644;0.4006450412789452;0.43567465458981014;0.44265311177240624;0.44816322631573857;0.4531553554982901;0.45968094889644223;0.461947358029054;0.46587049451533263;,0.002928272431916062;0.009455695787195493;0.030324671274633164;0.04968862279638615;0.061766111338614316;0.07076331360109345;0.08237080166237405;0.08885042232341639;0.09631219817332151;0.11220278347637405;0.23755394533205249;0.3370953719497352;0.39797993355066114;0.42513584993667547;0.4421522105509356;0.4646245264602543;0.4867265178231138;0.5260268823523282;
synth_ShapesAll_type2_nbdim_10,0.1403815242777618;0.17300988466388503;0.19964479994961537;0.21659148391294156;0.23259786449998723;0.2537998146975445;0.27627491070491883;0.29312429987701927;0.3095153869282193;0.3217448149558982;0.3972716769177871;0.4676897986501553;0.4981435886760396;0.5167120444033801;0.5275099017344356;0.5452050854245895;0.552184171170494;0.5698977425530175;,0.18833356065490053;0.22007402247218724;0.2463706977257347;0.2816442309488102;0.3063388492209873;0.3261537657091877;0.34681548674299434;0.365463311552467;0.37950333885170406;0.39611350795946476;0.4837781781943519;0.5764303760602145;0.6232164082270547;0.6475218038112714;0.667288837837684;0.6951941205912903;0.7106335451274931;0.7390300175232114;,0.06932624435353828;0.15730690149640733;0.20357275050138818;0.24092073727591704;0.2549832321739888;0.2720049640341305;0.28170460710210204;0.2826295189117451;0.29178155470326766;0.2923509277671687;0.31593415113911766;0.31839340705948643;0.3243365279566732;0.3255190805432469;0.3289787067740939;0.3267561544953008;0.32761756216170723;0.3304997511847627;
synth_ShapesAll_type2_nbdim_20,0.02994870438158927;0.0356888845541881;0.04814425764323881;0.06025664373213197;0.07335453487131414;0.08606775937503612;0.09885828667321327;0.11168787831055374;0.12178083339097681;0.13200118152189597;0.20727069467128595;0.26864760447076563;0.29629197984571315;0.3136978150613939;0.3266639234693243;0.3453065603668735;0.35478083831380336;0.3707579087728955;,0.08615201544804453;0.10881007402266434;0.12261040647291235;0.13412771798310563;0.14835295378822227;0.1603759354865819;0.1726667588573912;0.18755653454083313;0.2065682132029902;0.21708972091791248;0.33807619184222487;0.47304501916506914;0.5406908192725657;0.5863525612598348;0.6162425624202874;0.6542531491411634;0.6707809914962176;0.698956438933457;,0.0329583632277996;0.06792210167338272;0.12104670938110512;0.15301093785961975;0.16855768408351107;0.1936441735594913;0.2282696709555906;0.2446642051571811;0.2659970410380492;0.2862253512347976;0.3747870140657666;0.43700505152290176;0.452064239587288;0.4642372129169789;0.46514673996612216;0.4695002512798404;0.47515450226763567;0.47746758442029225;
synth_ShapesAll_type2_nbdim_40,0.010099046468934387;0.011948591592911948;0.015393796399669138;0.018972613988725913;0.022738136844651927;0.026856186630466797;0.03190144398830296;0.038324891041104016;0.04389445023071942;0.049778030741360786;0.11677566076018672;0.22942441211015896;0.3257078987884591;0.39786718537973087;0.45318708738658536;0.539297833490942;0.5779274075412149;0.6038624931481167;,0.01644836847861092;0.016217118948302935;0.02214333718589226;0.025380947641819324;0.032996672240639686;0.03750008452996333;0.039290992572919486;0.04488768468826932;0.0506882697226612;0.05807268649901813;0.13050717200042147;0.2830022430572517;0.3893023134763323;0.46062944008744416;0.5108777365543752;0.5875971843810232;0.6188813106597376;0.6334365244116031;,0.007525361667547846;0.019945958050994517;0.03990774080061016;0.050723751181863314;0.05726144483547599;0.06486685853885782;0.06851161137242202;0.0796752023218447;0.08950482905631078;0.10877427162358683;0.21816510125121;0.3905083339477621;0.4537656619232759;0.48567070501866505;0.512528093219995;0.5329165178351997;0.5395662985911119;0.5450966611673796;
synth_ShapesAll_type2_nbdim_60,0.005690681374650816;0.006306898202240342;0.008324042425222524;0.012999543843024536;0.017345832886772928;0.023151315284946204;0.027483753923756956;0.032869298393156374;0.0391824665775547;0.046921455805909444;0.09957876638521039;0.20099432602139847;0.25958575428122566;0.30119143990186503;0.33298117245376196;0.3938656223663729;0.4353249530623367;0.4798490213237314;,0.006484346138532906;0.007926536986828237;0.009284714716157785;0.014382715113329878;0.015972226883289874;0.017043600821828164;0.024422760442441172;0.03449219288922263;0.042693358792014434;0.05207373521309095;0.12006909257789193;0.2858011765461905;0.3999580016390821;0.47799912754654267;0.5291979982896919;0.5937392022059663;0.6240432689308747;0.6404061166522591;,0.0035460930606960156;0.00427709455887442;0.011598640398826784;0.023948873944577814;0.043279829092390226;0.05653945998482667;0.06364630231417415;0.07288872209518957;0.07998958385527571;0.07891955990994357;0.1221813940117981;0.2140132502867589;0.3232326397866128;0.37388974249191337;0.41310558634842637;0.4632582119668775;0.4839579995886946;0.49106585918164286;
