,mtex,cnn,inception,resnet,cresnet,ccnn,cinception,dcnn,dresnet,dinception
synth_ShapesAll_type1_nbdim_10,0.2972285270690918,0.34248623847961424,0.4636742115020752,0.7026910781860352,0.8743217468261719,0.3487220287322998,0.4403585910797119,0.3804868221282959,0.9271317481994629,0.5024109363555909
synth_ShapesAll_type1_nbdim_20,0.2936513423919678,0.3372818946838379,0.47150163650512694,0.7061681270599365,1.3404032707214355,0.5362756729125977,0.47753276824951174,0.588951587677002,1.4229465961456298,0.5452684879302978
synth_ShapesAll_type1_nbdim_40,0.2904820919036865,0.3515655994415283,0.47165570259094236,0.7074813365936279,2.319056987762451,0.9217331886291504,0.7448557376861572,1.0509963989257813,2.50971999168396,0.8707242488861084
synth_ShapesAll_type1_nbdim_60,0.33646063804626464,0.38764538764953616,0.5177487373352051,0.7683059215545655,3.3633267402648928,1.25959210395813,1.006288433074951,1.493107795715332,3.688970518112183,1.2310741424560547
synth_ShapesAll_type1_nbdim_100,0.3428485870361328,0.4015465259552002,0.5304111480712891,0.9504956722259521,5.445929384231567,1.9861268520355224,1.5502264976501465,2.9953752040863035,6.446000766754151,2.4747375011444093
